pollutantID,processID,sum(emissionQuant) 
1,1,189734.80124077565
1,2,428902.34395485127
1,11,37696.243537051654
1,12,333112.6593392939
1,13,438002.34796499496
1,15,3037.6935000621506
1,16,5575.300946775942
1,17,156.92262032556374
1,18,98596.5951916987
1,19,56929.51099850076
1,90,3188.4672323500395
1,91,734.4377646973298
3,1,739362.329793031
3,2,231658.72993939382
3,15,5378.21574900383
3,16,8.505612866169006
3,17,227.92401475920875
3,90,27639.98766561687
3,91,9792.238688358804
63,1,16.771755460047025
79,1,111046.62864541376
79,2,381869.4199903243
79,11,37696.243157324345
79,12,333112.6665817339
79,13,438002.34680267435
79,15,2377.305725331356
79,16,4983.9148177726265
79,17,152.11267985534573
79,18,98596.59491493423
79,19,56929.51058225347
79,90,1363.6769030462476
79,91,356.02502070784976
90,1,2673415164.0219064
90,2,76564190.54347818
90,90,6580729.396482991
90,91,1991748.4686689377
91,1,38740425324482.77
91,2,1053166601146.5135
91,90,89065732165.51947
91,91,26864691904.546143
91,93,437935206.5966797
110,1,14749.281414914964
112,1,7078.608015843085
112,15,56.20912047155764
115,1,1318.757743410943
115,15,179.71382314213002
116,9,23906.406484578256
117,10,11436.20793810747
118,1,7670.673699163514
118,15,516.4021298931491
119,1,0
119,15,0
